date,spy_close,vix_close,vix3m_close,hyg_close,lqd_close,tlt_close,hy_oas,t10y2y,nfci
2000-01-03,91.1327133178711,24.209999084472656,,,,,1.69,0.2,
2000-01-04,87.56890869140625,27.010000228881836,,,,,1.72,0.19,
2000-01-05,87.72552490234375,26.40999984741211,,,,,1.67,0.24,
2000-01-06,86.31568145751953,25.729999542236328,,,,,1.67,0.22,
2000-01-07,91.32854461669922,21.719999313354492,,,,,1.7,0.21,-0.181
2000-01-10,91.64185333251953,21.709999084472656,,,,,1.7,0.19,
2000-01-11,90.5453109741211,22.5,,,,,1.69,0.22,
2000-01-12,89.6445541381836,22.84000015258789,,,,,1.68,0.23,
2000-01-13,90.85857391357422,21.709999084472656,,,,,1.75,0.23,
2000-01-14,92.09229278564453,19.65999984741211,,,,,1.73,0.25,-0.192
2000-01-18,91.36771392822266,21.5,,,,,1.72,0.28,
2000-01-19,92.1118392944336,21.719999313354492,,,,,1.7,0.27,
2000-01-20,90.70198822021484,21.75,,,,,1.66,0.3,
2000-01-21,90.50614166259766,20.81999969482422,,,,,1.63,0.31,-0.203
2000-01-24,87.94095611572266,24.06999969482422,,,,,1.67,0.26,
2000-01-25,88.9395980834961,23.020000457763672,,,,,1.63,0.26,
2000-01-26,88.23464965820312,23.030000686645508,,,,,1.59,0.24,
2000-01-27,87.88220977783203,23.540000915527344,,,,,1.55,0.17,
2000-01-28,85.1407241821289,26.139999389648438,,,,,1.6,0.08,-0.21
2000-01-31,87.4513931274414,24.950000762939453,,,,,1.68,0.07,
2000-02-01,88.31298065185547,23.450000762939453,,,,,1.65,0.02,
2000-02-02,88.39131927490234,23.1200008392334,,,,,1.62,-0.03,
2000-02-03,89.72286987304688,22.010000228881836,,,,,1.64,-0.07,
2000-02-04,89.35084533691406,21.540000915527344,,,,,1.6,-0.1,-0.212
2000-02-07,89.21375274658203,22.790000915527344,,,,,1.66,-0.04,
2000-02-08,90.42779541015625,21.25,,,,,1.59,-0.1,
2000-02-09,88.52838897705078,22.899999618530273,,,,,1.7,-0.13,
2000-02-10,88.70465087890625,23.06999969482422,,,,,1.72,0.0,
2000-02-11,86.90312194824219,24.420000076293945,,,,,1.73,-0.02,-0.209
2000-02-14,87.4122543334961,24.3799991607666,,,,,1.74,-0.06,
